block_number,transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,trace_id
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x0379da7a5895d13037b6937b109fa8607a659adf,0x6b175474e89094c44da98b954eedeac495271d0f,0,0xa9059cbb00000000000000000000000042709aee22087bb039bdeec8cb1403c7f4ce2aba0000000000000000000000000000000000000000000003e7b2ed2083fae19fa9,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,418333,15374,0,"2,0",,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_2_0
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x0379da7a5895d13037b6937b109fa8607a659adf,0x6b175474e89094c44da98b954eedeac495271d0f,0,0x70a082310000000000000000000000000379da7a5895d13037b6937b109fa8607a659adf,0x00000000000000000000000000000000000000000002f41e943d9a14bd83dde1,call,staticcall,,401397,1302,0,"2,1",,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_2_1
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x0379da7a5895d13037b6937b109fa8607a659adf,0xa7ed29b253d8b4e3109ce07c80fc570f81b63696,0,0x70a082310000000000000000000000000379da7a5895d13037b6937b109fa8607a659adf,0x0000000000000000000000000000000000000000000000f9a8eb8bdb7d593b7b,call,staticcall,,398529,1241,0,"2,2",,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_2_2
11565103,0xf425692d18fce7b20e9b756756b96088147a5c5d210e6b0364a8d88634fc92ff,2,0xc2a6643fdec1ca4b6f8a6b1cfdc8eb1841279d31,0xd53d53667a2ac6b78eda79ce39a794a9e23f9bdf,0,0xa64f797600000000000000000000000000000000000000000000000137ac2d5fa8fb9e7a0000000000000000000000000000000000000000000003ae5cc366c309aa35e2000000000000000000000000a7ed29b253d8b4e3109ce07c80fc570f81b636960000000000000000000000000379da7a5895d13037b6937b109fa8607a659adf000000000000000000000000000000000000000000000001b9c8ed5d994ddc7f,,call,call,,327480,,1,,Reverted,0,call_0xf425692d18fce7b20e9b756756b96088147a5c5d210e6b0364a8d88634fc92ff_
11565103,0xf425692d18fce7b20e9b756756b96088147a5c5d210e6b0364a8d88634fc92ff,2,0xd53d53667a2ac6b78eda79ce39a794a9e23f9bdf,0x0379da7a5895d13037b6937b109fa8607a659adf,0,0x0902f1ac,0x00000000000000000000000000000000000000000002f41e943d9a14bd83dde10000000000000000000000000000000000000000000000f9a8eb8bdb7d593b7b000000000000000000000000000000000000000000000000000000005fee6a08,call,staticcall,,319599,1204,0,0,,0,call_0xf425692d18fce7b20e9b756756b96088147a5c5d210e6b0364a8d88634fc92ff_0
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x00000000a8ea342b940b2da595a30ab78f415896,0x50e5ab163d25007a1689ed2139d2dcd30a104834,0,0xdfbe4a310000000000000000000000000000000000000000000002bb6bd6480e0e13ed7e0000000000000000000000000000000000000000000000001baa68c0e0ae030000000000000000000000000000000000000000000000000000000000000000c000000000000000000000000050e5ab163d25007a1689ed2139d2dcd30a104834000000000000000000000000000000000000000000000000000000005fee6c65000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000006c5ba91642f10282b576d91922ae6448c9d52f4e000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000002bb6bd6480e0e13ed7e0000000000000000000000000000000000000000000000001bc1dbc85fc458b9,call,call,,376800,97748,1,,,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x50e5ab163d25007a1689ed2139d2dcd30a104834,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,0x38ed17390000000000000000000000000000000000000000000002bb6bd6480e0e13ed7e0000000000000000000000000000000000000000000000001baa68c0e0ae030000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000050e5ab163d25007a1689ed2139d2dcd30a104834000000000000000000000000000000000000000000000000000000005fee6c6500000000000000000000000000000000000000000000000000000000000000020000000000000000000000006c5ba91642f10282b576d91922ae6448c9d52f4e000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000002bb6bd6480e0e13ed7e0000000000000000000000000000000000000000000000001bc1dbc85fc458b9,call,call,,367726,93563,3,0,,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8867f20c1c63baccec7617626254a060eeb0e61e,0,0x0902f1ac,0x000000000000000000000000000000000000000000008446127c32dbaffe0fe00000000000000000000000000000000000000000000000055fa70c125cfb2c7e000000000000000000000000000000000000000000000000000000005fee69fa,call,staticcall,,358580,1204,0,"0,0",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_0
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,0,0x23b872dd00000000000000000000000050e5ab163d25007a1689ed2139d2dcd30a1048340000000000000000000000008867f20c1c63baccec7617626254a060eeb0e61e0000000000000000000000000000000000000000000002bb6bd6480e0e13ed7e,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,354041,24972,0,"0,1",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_1
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8867f20c1c63baccec7617626254a060eeb0e61e,0,0x022c0d9f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bc1dbc85fc458b900000000000000000000000050e5ab163d25007a1689ed2139d2dcd30a10483400000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000,0x,call,call,,326084,56638,3,"0,2",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_2
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x8867f20c1c63baccec7617626254a060eeb0e61e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0xa9059cbb00000000000000000000000050e5ab163d25007a1689ed2139d2dcd30a1048340000000000000000000000000000000000000000000000001bc1dbc85fc458b9,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,310746,15162,0,"0,2,0",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_2_0
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x8867f20c1c63baccec7617626254a060eeb0e61e,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,0,0x70a082310000000000000000000000008867f20c1c63baccec7617626254a060eeb0e61e,0x0000000000000000000000000000000000000000000087017e527ae9be11fd5e,call,staticcall,,294038,1219,0,"0,2,1",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_2_1
11565103,0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6,3,0x8867f20c1c63baccec7617626254a060eeb0e61e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0x70a082310000000000000000000000008867f20c1c63baccec7617626254a060eeb0e61e,0x00000000000000000000000000000000000000000000000543e53049fd36d3c5,call,staticcall,,291251,1234,0,"0,2,2",,1,call_0xccb487999e2d21130d1965fd80a2365a0064f23474b27f26034ad1960efe4cf6_0_2_2
