,block_number,from_address,to_address,isERC20
28500364,10575533,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x7c6203364b27e0645a3fc9dfea1d5fd97d89e745,False
37052749,11573429,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x799ff60ce5fd3ad26036fed56961760920ac49f3,False
34439138,11193060,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x8c851048359a8f07ccc08e51eaf27efd282c7284,False
28794626,10597288,0x131a99859a8bfa3251d899f0675607766736ffae,0xf6c3ff8832901349f1e87d10c1ec351c37cfd616,False
38637674,11948847,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x8dd96b42760f58062e60a0cb7947ea884e93c453,False
34240599,11171988,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x77a90b839813dd575454447b203451d710fb7121,False
14805090,7594695,0x0000000000b3f879cb30fe243b4dfee438691c04,0xd5f002b992a4e86523c23a0131d8ff71559f979d,False
38751162,11979379,0xa5409ec958c83c3f309868babaca7c86dcb077c1,0x6b2b52cc4fa7deddb712cec3bbbb5e15cf60725e,False
21898383,9510839,0x0000000000b3f879cb30fe243b4dfee438691c04,0x2c3a8ff3e69a0b53e8e9844090b09773afbea17b,False
35621193,11340491,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x3b0ae64dc4cf620fd1456379731fe04f08cd13a8,False
17357506,8249469,0x0000000000b3f879cb30fe243b4dfee438691c04,0x211709e0f3a24ae98755bb5e4056649de23adc28,False
33682241,11122098,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xfd608244df6637aad45921cdff15f6460714fd86,False
33665059,11121770,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xf11b103592a3ac5f36406df8580ca5ffbf1739d5,False
21291867,9333861,0x0000000000b3f879cb30fe243b4dfee438691c04,0x5568d8bba7df1cc4bdfb944c31c5566641ef2273,False
29081414,10650268,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x170105c4b1827f53898e672d2713a3e853f054ae,False
41673501,12486096,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xb41fdfecfd159ab5d044e1faae7cc342621c8787,False
42393060,12532660,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x1c648299d19e056509213dcbe69b1f310e102108,False
22800510,9665735,0x0000000000b3f879cb30fe243b4dfee438691c04,0x94e98b0e2932526f5c9c51275f1808df521b677f,False
41542892,12461896,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x92f5f67a365ddb0c034f12eae6ed442b5e4156fd,False
14898466,7614520,0x0000000000b3f879cb30fe243b4dfee438691c04,0xb26f20000d87680c88cc1760915912db9f7dc574,False
24505157,9814384,0xbf0c5d82748ed81b5794e59055725579911e3e4e,0x443106aa16043d5ef65ec6937d0e549d6e147766,False
20894359,9257598,0x0000000000b3f879cb30fe243b4dfee438691c04,0xde4deb54ccc98db9b6a89e1090abf34128abde29,False
24064671,9759603,0x0000000000b3f879cb30fe243b4dfee438691c04,0x5b435fc2112f2563206c035f9fe5d39927fd6ee9,False
