address,isERC20,type
0xda6cb58a0d0c01610a29c5a65c303e13e885887c,True,1
0x3883f5e181fccaf8410fa61e12b59bad963fb645,True,1
0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,True,1
0xbf2179859fc6d5bee9bf9158632dc51678a4100e,True,1
0x653430560be843c4a3d143d0110e896c2ab8ac0d,True,1
0x8eb24319393716668d768dcec29356ae9cffe285,True,1
0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,True,1
0x1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79,True,1
0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,True,1
0xe75ad3aab14e4b0df8c5da4286608dabb21bd864,True,1
0x408e41876cccdc0f92210600ef50372656052a38,True,1
0xc14830e53aa344e8c14603a91229a0b925b0b262,True,1
0x264dc2dedcdcbb897561a57cba5085ca416fb7b4,True,1
0x8377ee6d3545bc6ff1425ee3015dc648b149c7b2,True,1
0x922105fad8153f516bcfb829f56dc097a0e1d705,True,1
0xff32d68d8a4608fba6b51f07d1f138a63a149211,True,1
0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,True,1
0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,True,1
0xb98d4c97425d9908e66e53a6fdf673acca0be986,True,1
0x1829aa045e21e0d59580024a951db48096e01782,True,1
0x5732046a883704404f284ce41ffadd5b007fd668,True,1
0xb6ee9668771a79be7967ee29a63d4184f8097143,True,1
0xfbb5ad1a2d5376c9ad2971fc0b65a072fadf14a1,True,1
0x48c1b2f3efa85fbafb2ab951bf4ba860a08cdbb7,True,1
0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,True,1
0xbe428c3867f05dea2a89fc76a102b544eac7f772,True,1
0x6be61833fc4381990e82d7d4a9f4c9b3f67ea941,True,1
0x3136ef851592acf49ca4c825131e364170fa32b3,True,1
0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,True,1
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,True,1
0xeb9951021698b42e4399f9cbb6267aa35f82d59d,True,1
0x6f259637dcd74c767781e37bc6133cd6a68aa161,True,1
0xd0352a019e9ab9d757776f532377aaebd36fd541,True,1
0x6c6ee5e31d828de241282b9606c8e98ea48526e2,True,1
0x899338b84d25ac505a332adce7402d697d947494,True,1
0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb,True,1
0x48599941665827f9ea5a16c3d7417a43a1ce5df4,True,1
0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,True,1
0xb6ed7644c69416d67b522e20bc294a9a9b405b31,True,1
0xa7cb7f55ece2d1df3379f303f33dd3e1ee593b8f,True,1
0xc56b13ebbcffa67cfb7979b900b736b3fb480d78,True,1
0x46b9ad944d1059450da1163511069c718f699d31,True,1
0xcc80c051057b774cd75067dc48f8987c4eb97a5e,True,1
0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,True,1
0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,True,1
0xced9097d413a50640ebdd00c7b7718dfadebe4fa,True,1
0x23352036e911a22cfc692b5e2e196692658aded9,True,1
0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,True,1
0x3618516f45cd3c913f81f9987af41077932bc40d,True,1
0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,True,1
0x6710c63432a2de02954fc0f851db07146a6c0312,True,1
0x737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c,True,1
0x809826cceab68c387726af962713b64cb5cb3cca,True,1
0x8b353021189375591723e7384262f45709a3c3dc,True,1
0x8713d26637cf49e1b6b4a7ce57106aabc9325343,True,1
0xe25b0bba01dc5630312b6a21927e578061a13f55,True,1
0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,True,1
0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,True,1
0x9b4e2b4b13d125238aa0480dd42b4f6fc71b37cc,True,1
0x457a57e931cba4dff5ce8500cc0dff18356df041,True,1
0xbbff862d906e348e9946bfb2132ecb157da3d4b4,True,1
0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,True,1
0xebbdf302c940c6bfd49c6b165f457fdb324649bc,True,1
0x5d48f293baed247a2d0189058ba37aa238bd4725,True,1
0x26db5439f651caf491a87d48799da81f191bdb6b,True,1
0xb056c38f6b7dc4064367403e26424cd2c60655e1,True,1
0xc12d099be31567add4e4e4d0d45691c3f58f5663,True,1
0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,True,1
0x4a220e6096b25eadb88358cb44068a3248254675,True,1
0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,True,1
0xc64500dd7b0f1794807e67802f8abbf5f8ffb054,True,1
0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc,True,1
0xfe5f141bf94fe84bc28ded0ab966c16b17490657,True,1
0x1dea979ae76f26071870f824088da78979eb91c8,True,1
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,True,1
0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,True,1
